actor,database frequency,idf
Tony Doupe,1,8.4468
Tony Cox,1,8.4468
Tony Chiu Wai Leung,1,8.4468
Tony Bonner,1,8.4468
Tony Alva,1,8.4468
Toni Servillo,1,8.4468
Tommy Sheppard,1,8.4468
Tommy Pallotta,1,8.4468
Tom Welling,1,8.4468
Tom Hughes,1,8.4468
Tom E. Nicholson,1,8.4468
Tom Burke,1,8.4468
Tom Atkins,1,8.4468
Todd Stashwick,1,8.4468
Todd Giebenhain,1,8.4468
Tisha Campbell-Martin,1,8.4468
Tippi Hedren,1,8.4468
Tina Turner,1,8.4468
Tina Desai,1,8.4468
Timothy Hutton,1,8.4468
Tim Meadows,1,8.4468
Tim Holmes,1,8.4468
Tim Conway,1,8.4468
Tika Sumpter,1,8.4468
Tiffany Helm,1,8.4468
Tiago Riani,1,8.4468
Thomas Stroppel,1,8.4468
Thomas McDonell,1,8.4468
Thomas Lennon,1,8.4468
Thomas Bo Larsen,1,8.4468
Theo James,1,8.4468
Teryl Rothery,1,8.4468
Terry Kiser,1,8.4468
Terry Funk,1,8.4468
Teri Garr,1,8.4468
Teresa Wright,1,8.4468
Teo Halm,1,8.4468
Tenzin Thuthob Tsarong,1,8.4468
Temple Grandin,1,8.4468
Telly Savalas,1,8.4468
Taylor Pigeon,1,8.4468
Taylor Cole,1,8.4468
Tatyana Ali,1,8.4468
Tatum O'Neal,1,8.4468
Tatsuo Matsumura,1,8.4468
Tatiana Suarez-Pico,1,8.4468
Tate Donovan,1,8.4468
Tasha Smith,1,8.4468
Tanya Roberts,1,8.4468
Tamsin Egerton,1,8.4468
Tammin Sursok,1,8.4468
Tamara Toumanova,1,8.4468
Tamannaah Bhatia,1,8.4468
Talulah Riley,1,8.4468
Talisa Soto,1,8.4468
Taliesin Jaffe,1,8.4468
Talia Zucker,1,8.4468
Talia Shire,1,8.4468
Takashi Shimura,1,8.4468
Tadanobu Asano,1,8.4468
T.I.,1,8.4468
Sydney Pollack,1,8.4468
Suraj Sharma,1,8.4468
Sunny Mabrey,1,8.4468
Sunil Narkar,1,8.4468
Sullivan Stapleton,1,8.4468
Steven Yeun,1,8.4468
Steven Mackintosh,1,8.4468
Steven Bauer,1,8.4468
Steven Anthony Lawrence,1,8.4468
Steve Oedekerk,1,8.4468
Steve Irwin,1,8.4468
Steve Bastoni,1,8.4468
Sterling Jerins,1,8.4468
Stephen Macht,1,8.4468
Stephen Dillane,1,8.4468
Stephen Collins,1,8.4468
Stephen Carr,1,8.4468
Stephen Amell,1,8.4468
Stephanie Leonidas,1,8.4468
Stana Roumillac,1,8.4468
Stacy Edwards,1,8.4468
Spring Byington,1,8.4468
Sprague Grayden,1,8.4468
Spencer Wilding,1,8.4468
Spencer Tracy,1,8.4468
Sophie Okonedo,1,8.4468
Sook-Yin Lee,1,8.4468
Sonja Sohn,1,8.4468
Sonia Braga,1,8.4468
Sofia Boutella,1,8.4468
Slim Pickens,1,8.4468
Siu-Wong Fan,1,8.4468
Siobhan Marshall,1,8.4468
Simon Yam,1,8.4468
Simon Abkarian,1,8.4468
Sierra McCormick,1,8.4468
Sid Caesar,1,8.4468
Si Won Choi,1,8.4468
Shô Kosugi,1,8.4468
Shun Oguri,1,8.4468
Shirley Jones,1,8.4468
Shiri Appleby,1,8.4468
Sheryl Lee,1,8.4468
Sheryl Crow,1,8.4468
Shengyi Huang,1,8.4468
Shelley Hennig,1,8.4468
Shelley Duvall,1,8.4468
Shelley Conn,1,8.4468
Sheldon Leonard,1,8.4468
Shawnee Smith,1,8.4468
Shawna Waldron,1,8.4468
Shaun Sipos,1,8.4468
Sharon Small,1,8.4468
Sharon Leal,1,8.4468
Sharlto Copley,1,8.4468
Shari Albert,1,8.4468
Shannen Fields,1,8.4468
Shane Carruth,1,8.4468
Shane Black,1,8.4468
Shahir Kabaha,1,8.4468
Shahab Hosseini,1,8.4468
Seychelle Gabriel,1,8.4468
Seth MacFarlane,1,8.4468
