ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
3738;The Insider;1999;7.9;157;Michael Mann;Al Pacino;Biography|Drama|Thriller;research
3739;The International;2009;6.5;118;Tom Tykwer;Naomi Watts;Action|Crime|Drama|Mystery|Thriller;bank|chase|murder
3740;The Internship;2013;6.3;125;Shawn Levy;Josh Gad;Comedy;
3741;The Intern;2015;7.2;121;Nancy Meyers;Robert De Niro;Comedy|Drama;website
3742;The Interpreter;2005;6.4;128;Sydney Pollack;Curtiss Cook;Crime|Mystery|Thriller;assassination
3743;The Interview;2014;6.6;112;Evan Goldberg;James Franco;Comedy;dictator
3744;The Invasion;2007;5.9;99;Oliver Hirschbiegel;Roger Rees;Sci-Fi|Thriller;alien|psychiatrist|virus
3745;The Invention of Lying;2009;6.4;100;Ricky Gervais;Jennifer Garner;Comedy|Fantasy|Romance;heaven|truth
3746;The Iron Giant;1999;8.0;90;Brad Bird;Vin Diesel;Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi;boy|friend|maine|robot
3747;The Iron Lady;2011;6.4;105;Phyllida Lloyd;Meryl Streep;Biography|Drama|History;politics
3748;The Island of Dr. Moreau;1996;4.4;99;John Frankenheimer;Marlon Brando;Horror|Sci-Fi|Thriller;island|jungle|mutant
3749;The Island;2005;6.9;136;Michael Bay;Scarlett Johansson;Action|Adventure|Romance|Sci-Fi|Thriller;clone|escape|island
3750;The Italian Job;2003;7.0;111;F. Gary Gray;Jason Statham;Action|Crime|Thriller;gold|heist|revenge
3751;The Jackal;1997;6.3;124;Michael Caton-Jones;J.K. Simmons;Action|Adventure|Crime|Thriller;assassin|fbi|russian
3752;The Jacket;2005;7.1;94;John Maybury;Jennifer Jason Leigh;Drama|Mystery|Sci-Fi|Thriller;veteran
3753;The Janky Promoters;2009;5.2;85;Marcus Raboy;Mike Epps;Comedy|Crime|Music;
3754;The Jerky Boys;1995;4.6;82;James Melkonian;Vincent Pastore;Comedy|Crime;critically bashed|mafia|police|telephone
3755;The Jimmy Show;2001;5.4;96;Frank Whaley;Lynn Cohen;Comedy|Drama;based on play|character name in title
3756;The Joneses;2009;6.5;96;Derrick Borte;Demi Moore;Comedy|Drama;gadget
3757;The Judge;2014;7.4;141;David Dobkin;Robert Downey Jr.;Crime|Drama;courtroom|dysfunctional family|lawyer|trial
3758;The Jungle Book 2;2003;5.4;72;Steve Trenbirth;Haley Joel Osment;Adventure|Animation|Family|Musical;dog|jungle|tiger|village
3759;The Jungle Book;2016;7.8;106;Jon Favreau;Scarlett Johansson;Adventure|Drama|Family|Fantasy;fire|jungle|remake|tiger|wolf
3760;The Juror;1996;5.6;118;Brian Gibson;Joseph Gordon-Levitt;Drama|Thriller;breasts|mafia|sex scene|woods
3761;The Karate Kid;1984;7.2;126;John G. Avildsen;Martin Kove;Action|Drama|Family|Sport;apartment|bully|fight|karate
3762;The Kentucky Fried Movie;1977;6.5;83;John Landis;David Zucker;Comedy;parody|spoof
3763;The Kids Are All Right;2010;7.1;106;Lisa Cholodenko;Josh Hutcherson;Comedy|Drama;college|motorcycle
3764;The Kid;2000;6.1;104;Jon Turteltaub;Bruce Willis;Comedy|Family|Fantasy;cartoon on tv
3765;The Killer Inside Me;2010;6.1;109;Michael Winterbottom;Liam Aiken;Crime|Drama|Thriller;deputy|murder|revenge|sheriff|texas
3766;The King's Speech;2010;8.0;118;Tom Hooper;Colin Firth;Biography|Drama|History|Romance;king|speech
3767;The Kingdom;2007;7.1;110;Peter Berg;Jennifer Garner;Action|Drama|Thriller;fbi
3768;The Kite Runner;2007;7.6;128;Marc Forster;Mustafa Haidari;Drama;afghanistan|based on novel|boy|friend
3769;The Ladies Man;2000;5.1;84;Reginald Hudlin;Will Ferrell;Comedy;pantyhose|radio|tattoo
3770;The Lady from Shanghai;1947;7.7;92;Orson Welles;Rita Hayworth;Crime|Drama|Film-Noir|Mystery|Thriller;murder|partner
3771;The Ladykillers;2004;6.2;104;Ethan Coen;J.K. Simmons;Comedy|Crime|Thriller;casino|professor|remake
3772;The Lake House;2006;6.8;99;Alejandro Agresti;Keanu Reeves;Drama|Fantasy|Romance;house|lake|letter
3773;The Land Before Time;1988;7.3;69;Don Bluth;Judith Barsi;Adventure|Animation|Family;dinosaur|earthquake
3774;The Land Girls;1998;6.3;111;David Leland;Anna Friel;Drama|Romance|War;farm|friend|love
3775;The Last Airbender;2010;4.2;103;M. Night Shyamalan;Seychelle Gabriel;Action|Adventure|Family|Fantasy;fire|kingdom|tribe|water
3776;The Last Big Thing;1996;6.9;98;Dan Zukovic;Yul Vazquez;Comedy|Drama;actor|magazine|rock band|suburb
3777;The Last Castle;2001;6.9;131;Rod Lurie;Clifton Collins Jr.;Action|Drama|Thriller;colonel|general|military|prison
3778;The Last Days on Mars;2013;5.5;98;Ruairi Robinson;Romola Garai;Horror|Sci-Fi|Thriller;astronaut|mission|zombie
3779;The Last Dragon;1985;6.9;109;Michael Schultz;Mike Starr;Action|Comedy|Drama|Music;cult film|kung fu|martial arts|title spoken by character
3780;The Last Emperor;1987;7.8;219;Bernardo Bertolucci;Cary-Hiroyuki Tagawa;Biography|Drama|History;china|emperor
3781;The Last Exorcism Part II;2013;4.0;93;Ed Gass-Donnelly;Muse Watson;Drama|Horror|Thriller;evil|hospital|hotel
3782;The Last Exorcism;2010;5.6;87;Daniel Stamm;Caleb Landry Jones;Drama|Horror|Thriller;cult film|exorcism|found footage
3783;The Last Five Years;2014;5.9;94;Richard LaGravenese;Anna Kendrick;Comedy|Drama|Musical|Romance;based on play|number in title
3784;The Last Godfather;2010;3.6;100;Hyung-rae Shim;Jason Mewes;Comedy;mafia|three word title
3785;The Last House on the Left;2009;6.6;114;Dennis Iliadis;Tony Goldwyn;Crime|Horror|Thriller;kidnapping|lake|psychopath|woods
3786;The Last King of Scotland;2006;7.7;121;Kevin Macdonald;David Oyelowo;Biography|Drama|History|Thriller;1970s|assassination|doctor
3787;The Last Legion;2007;5.4;102;Doug Lefler;Colin Firth;Action|Adventure|Fantasy|War;boy|soldier
3788;The Last Samurai;2003;7.7;154;Edward Zwick;Tom Cruise;Action|Drama|History|War;captain|emperor|honor|japan|samurai
3789;The Last Shot;2004;5.7;93;Jeff Nathanson;Matthew Broderick;Comedy;fbi|undercover|urination
3790;The Last Sin Eater;2007;5.9;117;Michael Landon Jr.;Henry Thomas;Drama;christian film|funeral
3791;The Last Song;2010;5.8;107;Julie Anne Robinson;Kelly Preston;Drama|Family|Music|Romance;beach|fire|love|summer
3792;The Last Stand;2013;6.4;107;Jee-woon Kim;Zach Gilford;Action|Crime|Thriller;deputy|escape|fbi|sheriff
3793;The Last Station;2009;7.0;112;Michael Hoffman;David Masterson;Biography|Drama|Romance;countess|russian|wealth|writing
3794;The Last Temptation of Christ;1988;7.6;164;Martin Scorsese;Irvin Kershner;Drama;exorcism|faith
3795;The Last Time I Committed Suicide;1997;5.8;92;Stephen Kay;Keanu Reeves;Biography|Drama;1940s|vomiting
3796;The Last Waltz;1978;8.2;117;Martin Scorsese;Ringo Starr;Documentary|Music;band|guitar|interview|thanksgiving
3797;The Last Witch Hunter;2015;6.0;106;Breck Eisner;Vin Diesel;Action|Adventure|Fantasy;box office flop|magic|witch
3798;The Last of the Mohicans;1992;7.8;117;Michael Mann;Wes Studi;Action|Adventure|Drama|Romance|War;18th century|based on novel|colonel|revenge
3799;The Lawnmower Man;1992;5.4;140;Brett Leonard;Jeff Fahey;Horror|Sci-Fi;intelligence|scientist|supernatural power|virtual reality
3800;The Lazarus Effect;2015;5.2;83;David Gelb;Olivia Wilde;Horror|Sci-Fi|Thriller;experiment|hell|university
3801;The League of Extraordinary Gentlemen;2003;5.8;110;Stephen Norrington;Jason Flemyng;Action|Adventure|Fantasy|Sci-Fi;box office flop
3802;The Legend of Bagger Vance;2000;6.7;126;Robert Redford;Matt Damon;Drama|Fantasy|Sport;game|golf|golfer
3803;The Legend of Drunken Master;1994;7.6;102;Chia-Liang Liu;Andy Lau;Action|Comedy;battle|fight|fighting|snake
3804;The Legend of Hell's Gate: An American Conspiracy;2011;4.4;108;Tanner Beard;William McNamara;Action|Adventure|History|Western;1800s|sheriff|texas
3805;The Legend of Hercules;2014;4.2;99;Renny Harlin;Roxanne McKee;Action|Adventure|Fantasy;king|slavery
3806;The Legend of Suriyothai;2001;6.6;300;Chatrichalerm Yukol;Sarunyu Wongkrachang;Action|Adventure|Drama|History|War;invasion|queen|thailand
3807;The Legend of Tarzan;2016;6.6;110;David Yates;Christoph Waltz;Action|Adventure|Drama|Romance;africa|jungle|male objectification
3808;The Legend of Zorro;2005;5.9;129;Martin Campbell;Michael Emerson;Action|Adventure|Western;california|fight|hero|mask
3809;The Legend of the Lone Ranger;1981;5.0;98;William A. Fraker;Jason Robards;Action|Adventure|Western;hero|outlaw|texas ranger
3810;The Lego Movie;2014;7.8;100;Phil Lord;Morgan Freeman;Action|Adventure|Animation|Comedy|Family|Fantasy;
3811;The Libertine;2004;6.4;114;Laurence Dunmore;Johnny Depp;Drama|Romance;ambassador|mistress|poet
3812;The Life Aquatic with Steve Zissou;2004;7.3;119;Wes Anderson;Bill Murray;Adventure|Comedy|Drama;expedition|sea|shark|team
3813;The Life Before Her Eyes;2007;6.4;90;Vadim Perelman;Eva Amurri Martino;Drama|Mystery|Thriller;best friend|nonlinear timeline|shooting
3814;The Life of David Gale;2003;7.5;130;Alan Parker;Kevin Spacey;Crime|Drama|Thriller;activist|death|murder|texas
3815;The Limey;1999;7.1;89;Steven Soderbergh;Peter Fonda;Crime|Drama|Mystery|Thriller;daughter|revenge
3816;The Lincoln Lawyer;2011;7.3;118;Brad Furman;Matthew McConaughey;Crime|Drama|Thriller;lawyer|plot twist|prostitute
3817;The Lion King;1994;8.5;73;Roger Allers;Matthew Broderick;Adventure|Animation|Drama|Family|Musical;king|prince|uncle
3818;The Lion of Judah;2011;3.7;87;Deryck Broom;Vic Mignogna;Animation;animal|pig
3819;The Little Prince;2015;7.8;108;Mark Osborne;Jeff Bridges;Adventure|Animation|Drama|Family|Fantasy;girl|little girl
3820;The Little Vampire;2000;5.7;95;Uli Edel;Richard E. Grant;Adventure|Comedy|Family|Fantasy;boy|rat|vampire
3821;The Lives of Others;2006;8.5;137;Florian Henckel von Donnersmarck;Sebastian Koch;Drama|Thriller;police|writer
3822;The Living Daylights;1987;6.7;130;John Glen;Joe Don Baker;Action|Adventure|Thriller;escape
3823;The Living Wake;2007;6.5;91;Sol Tryon;Jim Gaffigan;Comedy;artist|black comedy
3824;The Lizzie McGuire Movie;2003;5.3;94;Jim Fall;Clayton Snyder;Adventure|Comedy|Family|Music|Romance;best friend|singer|teenager
3825;The Lone Ranger;2013;6.5;150;Gore Verbinski;Johnny Depp;Action|Adventure|Western;horse|outlaw|texas|texas ranger|train
3826;The Long Kiss Goodnight;1996;6.7;121;Renny Harlin;Melina Kanakaredes;Action|Crime|Drama|Mystery|Thriller;amnesia|chase|strong female character|vomiting
3827;The Long Riders;1980;7.1;100;Walter Hill;Dennis Quaid;Western;bank|breasts|revenge
3828;The Longest Day;1962;7.8;178;Ken Annakin;Richard Burton;Action|Drama|History|War;invasion|world war two
3829;The Longest Ride;2015;7.1;128;George Tillman Jr.;Tiago Riani;Drama|Romance;1940s|north carolina|student
3830;The Longest Yard;2005;6.4;113;Peter Segal;Adam Sandler;Comedy|Crime|Sport;coach|convict|football|prison
3831;The Longshots;2008;5.1;94;Fred Durst;Tasha Smith;Biography|Comedy|Drama|Family|Sport;based on true story
3832;The Lord of the Rings: The Fellowship of the Ring;2001;8.8;171;Peter Jackson;Christopher Lee;Action|Adventure|Drama|Fantasy;elf|quest|ring
3833;The Lord of the Rings: The Return of the King;2003;8.9;192;Peter Jackson;Orlando Bloom;Action|Adventure|Drama|Fantasy;battle|epic|king|ring
3834;The Lord of the Rings: The Two Towers;2002;8.7;172;Peter Jackson;Christopher Lee;Action|Adventure|Drama|Fantasy;epic|ring|wizard
3835;The Lords of Salem;2012;5.1;101;Rob Zombie;Sid Haig;Drama|Fantasy|Horror|Thriller;blood|flashback
3836;The Losers;2010;6.4;97;Sylvain White;Chris Evans;Action|Crime|Drama|Mystery|Thriller;martial arts|revenge|special forces
3837;The Loss of Sexual Innocence;1999;5.4;106;Mike Figgis;Kelly Macdonald;Drama;1950s|italian|murder|vomiting
3838;The Lost Boys;1987;7.2;97;Joel Schumacher;Dianne Wiest;Comedy|Fantasy|Horror;1980s|california|death|small town|vampire
3839;The Lost City;2005;6.7;144;Andy Garcia;Danny Pino;Drama|Romance;1950s|cuba
3840;The Lost Medallion: The Adventures of Billy Stone;2013;4.8;97;Bill Muir;Alex Kendrick;Adventure|Family|Fantasy;cave|island
3841;The Lost Skeleton of Cadavra;2001;7.0;90;Larry Blamire;Fay Masterson;Comedy|Horror|Sci-Fi;alien|cave|husband wife relationship|monster
3842;The Lost Weekend;1945;8.0;101;Billy Wilder;Ray Milland;Drama|Film-Noir;alcoholic|alcoholism|paranoia
3843;The Lost World: Jurassic Park;1997;6.5;129;Steven Spielberg;Ariana Richards;Action|Adventure|Sci-Fi;dinosaur|island
3844;The Love Guru;2008;3.8;87;Marco Schnabel;Justin Timberlake;Comedy|Romance|Sport;
3845;The Love Letter;1998;7.4;99;Dan Curtis;Jennifer Jason Leigh;Fantasy|Romance;letter|love|time travel
3846;The Loved Ones;2009;6.7;84;Sean Byrne;Robin McLeavy;Horror|Thriller;escape|high school|prom
3847;The Lovely Bones;2009;6.7;135;Peter Jackson;Michael Imperioli;Drama|Fantasy|Thriller;1970s|afterlife|heaven|rape
3848;The Lovers;2015;4.5;109;Roland Joffé;Tamsin Egerton;Action|Adventure|Romance|Sci-Fi;india|ring
3849;The Lucky Ones;2008;7.0;115;Neil Burger;John Heard;Comedy|Drama|War;guitar|road trip|soldier|stranded
3850;The Lucky One;2012;6.5;101;Scott Hicks;Blythe Danner;Drama|Romance;
3851;The Lunchbox;2013;7.8;104;Ritesh Batra;Nawazuddin Siddiqui;Drama|Romance;
3852;The Machinist;2004;7.7;94;Brad Anderson;Christian Bale;Drama|Thriller;paranoia
3853;The Magic Flute;2006;6.6;135;Kenneth Branagh;Kim-Marie Woodhouse;Drama|Musical|Romance;evil|queen
3854;The Magic Sword: Quest for Camelot;1998;6.2;86;Frederik Du Chau;Gary Oldman;Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical;dragon|knight|sword
3855;The Majestic;2001;6.9;152;Frank Darabont;Martin Landau;Drama|Romance;amnesia|california|small town|writer
3856;The Man Who Knew Too Little;1997;6.6;94;Jon Amiel;Bill Murray;Action|Comedy|Crime|Thriller;assassin|bomb|mistaken identity|spy
3857;The Man Who Shot Liberty Valance;1962;8.1;113;John Ford;Lee Marvin;Drama|Western;friend|funeral|outlaw
3858;The Man from Earth;2007;8.0;87;Richard Schenkman;William Katt;Drama|Romance|Sci-Fi;single set production
3859;The Man from Snowy River;1982;7.3;102;George Miller;Tony Bonner;Adventure|Drama|Family|Romance|Western;australia|ranch|twin
3860;The Man from U.N.C.L.E.;2015;7.3;116;Guy Ritchie;Henry Cavill;Action|Adventure|Comedy;box office flop|cia agent
3861;The Man in the Iron Mask;1998;6.4;132;Randall Wallace;Leonardo DiCaprio;Action|Adventure;france|twin|twin brother
3862;The Man with the Golden Gun;1974;6.8;125;Guy Hamilton;Christopher Lee;Action|Adventure|Thriller;assassin|bikini|mission|secret agent
3863;The Man with the Iron Fists;2012;5.4;107;RZA;Rick Yune;Action;box office flop|critically bashed|village
3864;The Manchurian Candidate;2004;6.6;129;Jonathan Demme;Denzel Washington;Drama|Mystery|Sci-Fi|Thriller;conspiracy|critically acclaimed|mother son relationship|soldier
3865;The Man;2005;5.5;83;Les Mayfield;Miguel Ferrer;Action|Comedy|Crime;criminal|mistaken identity|salesman
3866;The Marine 4: Moving Target;2015;5.2;90;William Kaufman;Paul McGillion;Action|Thriller;mercenary
3867;The Marine;2006;4.7;92;John Bonito;Kelly Carlson;Action|Drama|Thriller;marine
3868;The Martian;2015;8.1;151;Ridley Scott;Matt Damon;Adventure|Drama|Sci-Fi;astronaut|nasa
3869;The Mask of Zorro;1998;6.7;136;Martin Campbell;Anthony Hopkins;Action|Adventure|Comedy|Romance|Thriller|Western;19th century|california|revenge|training
3870;The Mask;1994;6.9;114;Chuck Russell;Peter Greene;Action|Comedy|Crime|Fantasy;bank|gangster|mask
3871;The Master of Disguise;2002;3.3;80;Perry Andelin Blake;Jennifer Esposito;Comedy|Family;disguise|mask|restaurant|waiter
3872;The Master;2012;7.1;144;Paul Thomas Anderson;Mike Howard;Drama;drifter
3873;The Matador;2005;6.8;96;Richard Shepard;Adam Scott;Comedy|Crime|Drama|Thriller;bar|hitman|mexico
3874;The Matrix Reloaded;2003;7.2;138;Lana Wachowski;Steve Bastoni;Action|Sci-Fi;
3875;The Matrix Revolutions;2003;6.7;129;Lana Wachowski;Essie Davis;Action|Sci-Fi;battle|epic|fight|future|machine
3876;The Matrix;1999;8.7;136;Lana Wachowski;Keanu Reeves;Action|Sci-Fi;computer
3877;The Maze Runner;2014;6.8;113;Wes Ball;Ki Hong Lee;Action|Mystery|Sci-Fi|Thriller;based on novel|teenage boy
3878;The Mechanic;2011;6.6;93;Simon West;Jason Statham;Action|Crime|Thriller;apprentice|hitman|nightclub
3879;The Medallion;2003;5.2;108;Gordon Chan;Julian Sands;Action|Comedy|Fantasy;hong kong|ship
3880;The Men Who Stare at Goats;2009;6.2;94;Grant Heslov;Kevin Spacey;Comedy|War;general|reporter
3881;The Merchant of Venice;2004;7.1;131;Michael Radford;Al Pacino;Drama|Romance;debt|jew
3882;The Messenger: The Story of Joan of Arc;1999;6.4;158;Luc Besson;Paul Brooke;Adventure|Biography|Drama|History|War;france|trial
3883;The Messenger;2009;7.2;105;Oren Moverman;Steve Buscemi;Drama|Romance|War;captain|sergeant
3884;The Mexican;2001;6.1;123;Gore Verbinski;J.K. Simmons;Adventure|Comedy|Crime|Romance;curse|hostage|mexico|vomiting
3885;The Midnight Meat Train;2008;6.1;103;Ryûhei Kitamura;Bradley Cooper;Fantasy|Horror|Mystery;photographer|subway
3886;The Mighty Ducks;1992;6.4;100;Stephen Herek;Lane Smith;Comedy|Drama|Family|Sport;coach|lawyer|team
3887;The Mighty Macs;2009;6.5;99;Tim Chambers;Ellen Burstyn;Drama|Sport;basketball|catholic|coach|college|nun
3888;The Mighty;1998;7.3;100;Peter Chelsom;Kieran Culkin;Comedy|Drama;book|friendship|knight
3889;The Mirror Has Two Faces;1996;6.5;122;Barbra Streisand;Jeff Bridges;Comedy|Drama|Romance;marriage|professor|sex
3890;The Misfits;1961;7.4;120;John Huston;Montgomery Clift;Drama|Romance|Western;cowboy|divorce|horse
3891;The Missing Person;2009;6.2;95;Noah Buschel;Merritt Wever;Drama;detective|train
3892;The Mist;2007;7.2;126;Frank Darabont;Toby Jones;Horror;survival
3893;The Molly Maguires;1970;6.9;124;Martin Ritt;Frank Finlay;Drama|History;detective|irish
3894;The Mongol King;2005;7.8;84;Anthony Vallone;Richard Jewell;Crime|Drama;
3895;The Monuments Men;2014;6.1;118;George Clooney;Bill Murray;Drama|War;art|soldier|world war two
3896;The Mortal Instruments: City of Bones;2013;6.0;130;Harald Zwart;Aidan Turner;Fantasy|Horror|Mystery|Romance;battle|demon|magic|secret|warrior
3897;The Motel;2005;6.8;75;Michael Kang;Samantha Futerman;Comedy|Drama;motel|mother son relationship
3898;The Mothman Prophecies;2002;6.5;119;Mark Pellington;Debra Messing;Drama|Horror|Mystery|Thriller;car accident
3899;The Mudge Boy;2003;7.2;94;Michael Burke;Zachary Knighton;Crime|Drama|Romance;death|farm
3900;The Mummy Returns;2001;6.3;130;Stephen Sommers;Dwayne Johnson;Action|Adventure|Fantasy|Thriller;king|son
3901;The Mummy: Tomb of the Dragon Emperor;2008;5.2;112;Rob Cohen;Jet Li;Action|Adventure|Fantasy|Horror|Thriller;army|china|emperor
3902;The Muppet Christmas Carol;1992;7.7;89;Brian Henson;Steven Mackintosh;Comedy|Drama|Family|Fantasy|Musical;christmas|christmas eve
3903;The Muppet Movie;1979;7.7;95;James Frawley;Madeline Kahn;Adventure|Comedy|Family|Musical;friend|on the road|restaurant
3904;The Muppets;2011;7.1;103;James Bobin;Bill Cobbs;Adventure|Comedy|Family|Musical;book
3905;The Muse;1999;5.6;97;Albert Brooks;Jeff Bridges;Comedy;directed by star|satire
3906;The Musketeer;2001;4.7;104;Peter Hyams;Catherine Deneuve;Action|Adventure|Romance;guard|king|murder
3907;The Naked Gun 2½: The Smell of Fear;1991;6.8;85;David Zucker;George Kennedy;Comedy|Crime;president
3908;The Names of Love;2010;7.2;100;Michel Leclerc;Sara Forestier;Comedy|Drama|Romance;activist|voyeurism
3909;The Namesake;2006;7.6;122;Mira Nair;Jacinda Barrett;Drama;india|train
3910;The Nativity Story;2006;6.8;101;Catherine Hardwicke;Keisha Castle-Hughes;Drama|Family|Fantasy;angel|journey|virgin
3911;The Negotiator;1998;7.3;140;F. Gary Gray;Kevin Spacey;Action|Crime|Drama|Mystery|Thriller;hostage|murder|police
3912;The Neon Demon;2016;7.0;118;Nicolas Winding Refn;Keanu Reeves;Horror|Thriller;cannibalism|fashion|lesbian
